"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"pc1"	"pc2"
"48"	"GA-POR-MI-17"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	0.902109525436176	1.11455233726772	0.22140342576344	0.506198118531282	-0.57486675946716	-0.10305093980629	-0.376132791143745	0.595821138310219	-0.0866676778435728	0.676884433740462	-0.45631656774735	-0.724573584193649	0	9.0205620750794e-17	81.71	15.93
"49"	"GA-POR-MI-2"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"50"	"GA-POR-MI-24"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	2.63234323242797	-0.0130743306724901	-1.65938804589228	0.382392859532973	0.253973494895918	0.0564205539944604	0.352568609649637	0.26686778971874	0.0633588144554817	0.00230233444040684	0.000834744868061199	0.0126284049174177	0	-1.11022302462516e-16	81.71	15.93
"51"	"GA-POR-MI-27"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"52"	"GA-POR-MI-28"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"53"	"GA-POR-MI-31"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"54"	"GA-POR-MI-32"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
"55"	"GA-POR-MI-4"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	0.836697558556111	1.04217482047157	0.0806609755848595	0.553948103062098	-0.546245507659866	0.0724504751333972	-0.415408945150238	0.604744154257686	-0.0870247237316393	0.678223871658695	-0.45631656774735	-0.724573584193649	0	9.0205620750794e-17	81.71	15.93
"56"	"GA-POR-MI-6"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	0.902109525436176	1.11455233726772	0.22140342576344	0.506198118531282	-0.57486675946716	-0.10305093980629	-0.376132791143745	0.595821138310219	-0.0866676778435728	0.676884433740462	-0.45631656774735	-0.724573584193649	0	9.0205620750794e-17	81.71	15.93
"57"	"GA-POR-MI-7"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	3.18262907429749	0.138148620307991	-0.407818723790058	-0.043744828817938	-0.00867583677613858	0.0108115080304858	-0.0209517744964129	0.0255149676708917	0.0289004746871728	0.00289858315898696	0.000834744868061388	0.012628404917418	0	-1.11022302462516e-16	81.71	15.93
