"Individual"	"Population"	"Type"	"Concrete_Location"	"NS"	"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"pc1"	"pc2"
"43"	"GA-POR-MI-12"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.422610807673197	-0.13955560761348	-0.000501121968239681	0.000815866182630322	-0.000292950578858264	0.00136113783652539	-0.000173368941570905	-0.000425950973200464	-0.000331793096189751	-0.000415168322946587	-3.81489790354329e-06	0.00145930758513927	-0.000374011722274183	0.00101840553462131	0.000333922358883718	-0.000107683898621811	-0.00065688099731305	8.47207354525148e-05	0.00113915606859202	99.14	0.86
"44"	"GA-POR-MI-13"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.422610807673197	-0.13955560761348	-0.000501121968239681	0.000815866182630322	-0.000292950578858264	0.00136113783652539	-0.000173368941570905	-0.000425950973200464	-0.000331793096189751	-0.000415168322946587	-3.81489790354329e-06	0.00145930758513927	-0.000374011722274183	0.00101840553462131	0.000333922358883718	-0.000107683898621811	-0.00065688099731305	8.47207354525148e-05	0.00113915606859202	99.14	0.86
"45"	"GA-POR-MI-14"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-1.43807061914638	1.25774717411982	0.135869323645649	-0.134486611997533	-0.150647795800526	0.16152371638992	-0.174167048809712	-0.188929063747827	-0.209027713465163	-0.914583449731769	0.000347140459800555	-0.187920014815333	-0.0388231650337041	-0.16364132393982	-0.116709194497076	0.0733716071275187	-0.922863614214788	0.162453541297457	0.293064947738415	99.14	0.86
"46"	"GA-POR-MI-15"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"47"	"GA-POR-MI-16"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"48"	"GA-POR-MI-17"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.422610807673197	-0.13955560761348	-0.000501121968239681	0.000815866182630322	-0.000292950578858264	0.00136113783652539	-0.000173368941570905	-0.000425950973200464	-0.000331793096189751	-0.000415168322946587	-3.81489790354329e-06	0.00145930758513927	-0.000374011722274183	0.00101840553462131	0.000333922358883718	-0.000107683898621811	-0.00065688099731305	8.47207354525148e-05	0.00113915606859202	99.14	0.86
"49"	"GA-POR-MI-2"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"50"	"GA-POR-MI-24"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"51"	"GA-POR-MI-27"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-5.16461555541382	0.0271580991667227	-0.00551234165063618	0.00897452800893353	-0.00322245636744109	0.0149725162017796	-0.00190705835727973	-0.00468546070520514	-0.00364972405808733	-0.00456685155241259	-4.19638769391106e-05	0.0160523834365321	-0.00411412894501622	0.0112024608808342	0.00367314594772067	-0.00118452288483996	-0.00722569097044333	0.000931928089977805	0.0125307167545124	99.14	0.86
"52"	"GA-POR-MI-28"	"GA-POR-MI"	"Freshwater"	"Iberian_Peninsula"	"South"	-0.422610807673197	-0.13955560761348	-0.000501121968239681	0.000815866182630322	-0.000292950578858264	0.00136113783652539	-0.000173368941570905	-0.000425950973200464	-0.000331793096189751	-0.000415168322946587	-3.81489790354329e-06	0.00145930758513927	-0.000374011722274183	0.00101840553462131	0.000333922358883718	-0.000107683898621811	-0.00065688099731305	8.47207354525148e-05	0.00113915606859202	99.14	0.86
